Employer Name,Review Link,Job Title,Review Date,Review City Name,Review State Name,Current Job,Overall Satisfaction,Career Opportunities,Compensation & Benefits,Senior Leadership,Work-Life Balance,Culture & Values,Business Outlook,Recommend to Friend,CEO Approval,Pros,Cons,Advice to Sr. Management,Headline
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW2779149.htm,Jda,6/28/2013,Hyderābād,Andhra Pradesh,Yes,1,1,1,1,3,3,Getting Better,No,Disapprove,"No responsibilities, No pressures:) , very limited responsibilities to even  Ass Mgr.","No growth, no learning centres, no trainings, no people development, very long heirarchy. One should never expect growth here.","Very poor HR magmt, need to develop lot many things in Hyd.",JDA - FADIM
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW2769927.htm, ,6/26/2013, , ,Yes,3,3,0,0,0,3, , ,No Rating,"systematic way of conducting initial rounds, good environment, people friendly organization, nice work culture","lack of communication after 3-4 rounds, major crowd from colleges like iipm, iilm, etc", ,Research associate
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW2753978.htm,Research Associate,6/20/2013,Gurgaon,Haryana,Yes,2,1,3,2,4,2,Staying the Same,No,No Opinion,chilled out work environement and less pressure,no learning and frustated employees,Create some learning environment for the employees,Don't waste time here. Not worth it.
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW2746328.htm,Manager,6/18/2013,New York,New York State,No,1,1,1,1,1,1,Getting Worse,No,Disapprove,Capital IQ has an amazing Indian operation.  Morale there remains pretty good.  Do yourself a favor and sort the reviews by location and you will see that folks in India generally are happy and have good feelings about the business and even the CEO (who they don't know.),"Look at how people in NY feel.   Most people disapprove of the CEO and wouldn't recommend the company to a friend.  NY is where most of the sales, technology and product development is located.  NY is also the same office as Lou the CEO and much of the senior managers.  NY'ers have a much better sense of the level of incompetence, politics and lack of ""realness"" that the senior team has mastered.  It is very sad.",Read the reviews.  React.,Depressing outside of India
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW2734307.htm, ,6/13/2013, , ,Yes,5,0,0,0,0,0,Getting Better, ,Approve,"Its the perfect mix of a professional work culture and startup fun. You learn a lot, get mentored a lot, get challenging work but see people full of energy around you playing games, shouting, laughing, throwing jokes, making fun - that is you never get bored.
There will never be a lack of energy and fun
There will never be a lack of learning and quality work",Don't go by the negative reviews. I had really low expectations from the company after reading them but am so glad now that I joined it, ,Startup Fun Culture with perfect Professionalism and Work
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW2724915.htm,Product Consultant,6/11/2013,New York,New York State,Yes,2,2,3,2,5,3,Getting Worse,No,Approve,It's an easy job with short hours. The people are fun and like-minded.,"The group is terribly managed, and there is no real growth potential.",Pay attention.,Product Consultant
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW2722309.htm, ,6/10/2013, , ,No,3,2,3,3,4,3,Staying the Same,No,No Rating,"Work Culture, Environment, Team Work, Minimal politics, no or minimal work pressure",Career Growth Opportunities were lacking,Indulge and communicate more,Experience at S&P CIQ was average
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW2721879.htm,Research Associate,6/10/2013,Gurgaon,Haryana,No,3,0,0,0,0,0, , ,No Rating,"No work pressure, shift timings,","Monotonous Work, Need to get more interesting work", ,Friendly Employee Culture
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW2709445.htm,Technology Quality Analyst,6/5/2013,Gurgaon,Haryana,No,3,2,5,1,4,3, , ,No Rating,"Money Money Money, Good package, brand name, no work pressure, Good bonus, No dress code, 8 hour shift , 40+ Annual leaves and Cabs...","1) No Growth - you cant expect growth until unless your senior leaves the company and your superior wont go anywhere because she/he is getting lots of money with zero technical knowledge

2) No Learning- After 6 months your learning curve falls and get ready to do the same stuff for the rest of your life..also it become very difficult to switch because of zero development in your skill set

3) Too much politics - Promotions are not on the basis of MERIT.. there is no transparency ..a person with 4 years in job will be a level 2 while a fresher with 2 years in company might be senior just because of stupid policies...

4) work is also not challenging... work become mundane after some time, its like a call center where u spend half of the time in replying to client issues 

5) No ONSITE opportunity - US will be a dream for u, only top management goes abroad and for others Webex and video conferencing :P","Management is controlled by a bunch of guys and they do whatever they like, too much favoritism by the Managers, if you have good terms with manager then its ok else there is no one to appreciate your work..

Advice will be to bring transparency, give promotions on Merit","no growth, no job satisfaction, no learning, no value of work in Outside market"
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW2700808.htm, ,6/2/2013, , ,Yes,3,3,3,2,4,4,Staying the Same,No,No Rating,"Big name
Stability
People  you can meet","Talent is walking out
Top Down information lags significantly",Get to know your employees better,Talent is draining
