Employer Name,Review Link,Job Title,Review Date,Review City Name,Review State Name,Current Job,Overall Satisfaction,Career Opportunities,Compensation & Benefits,Senior Leadership,Work-Life Balance,Culture & Values,Business Outlook,Recommend to Friend,CEO Approval,Pros,Cons,Advice to Sr. Management,Headline
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW9821436.htm, ,3/6/2016, , ,Yes,3,2,4,3,5,4, , ,Approve,"Good Work Life balance, Free transport, Limited working hours, Good Pay","Monotonous work, No growth and learning", ,Research Associate
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW9815925.htm,Senior Manager - Technology,3/6/2016,New York,New York State,Yes,3,3,3,3,4,3,Staying the Same, ,No Opinion,"Overall reasonable people with positive outlook. Because of its mid size, does not have the high level of politics and negative practices that large companies sometimes have","Does not have the high energy, focus and ""big picture"" vision that most mid-size companies have. The matrix layers disconnected to the Nth degree",cut down the processes and apply common sense. Make the change a ground up rather than top down one.,Matrixed Organization that is lost in translation
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW9815078.htm,JRA,3/6/2016,Hyderābād,Andhra Pradesh,Yes,4,4,4,3,3,3, , ,No Rating,"Good package, Management Friendly Process, Great allowances for night shift employees","Promotions are Less, Have to prove hard.", ,Its a great platform to start your career.
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW9811383.htm, ,3/5/2016, , ,Yes,2,1,2,3,4,5, , ,No Rating,Great work life balance. Have made good friends over the years.  Great place to start your career if just out of college.,"Contstant turmoil last year and half.  Out with the old, in with the new.  No career or growth prospects.", ,More than four in over a decade of service
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW9804558.htm,Research Associate,3/4/2016,Hyderābād,Andhra Pradesh,Yes,3,4,3,3,3,4,Getting Better,Yes,Approve,"good work life balance, pay structure average, good career growth","Repetitive work, additional benefits not much", ,Work life balance
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW9786039.htm, ,3/3/2016, , ,Yes,4,0,0,0,0,0, , ,No Rating,amazing work life balance coupled with great facilities for sports makes it to the place to be.,slow progress and needs greater enthusiasm to keep innovating otherwise might lose out on crucial clients due to competition, ,Great firm to begin with
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW9773187.htm, ,3/2/2016,Hyderābād,Andhra Pradesh,No,3,2,4,1,4,1,Getting Worse,No,No Rating,"Good Work life balance, Cafetaria, Doable work targets and Modest salary",Very slow pace of growth and no equality and level playing field for all employees,Immediate revamp of middle management is very essential to held bright people,Good Work LIfe Balance
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW9764806.htm,Research Associate,3/1/2016,Gurgaon,Haryana,Yes,3,3,4,4,4,4,Staying the Same,Yes,Approve,"The benefits are endless when it comes to working in this company. Some of these are flexible timings, transport facilities, salaries better than competitiors.
There are numerous portals and platforms that help you grow personally. Internal job portals are also one of the best.","If you are a fresher, then this job is worth only 1-2 years of your career. Beyond this, your work becomes monotonous and boring. There is very little growth if you stay in your current position.",We could have more transparency and better job rotations.,A company growing exponentially can provide employee growth if you are willing to work hard and smart.
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW9752349.htm, ,3/1/2016, , ,Yes,4,1,0,0,0,0,Getting Better,Yes,No Rating,"Good work culture, nice people and relatively less stress",Need to cover long distance for attending work costly canteen,Nothing apart from nothing but nothing and something but nothing,Cool company
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW9722055.htm,Quality Engineer,2/27/2016,Gurgaon,Haryana,Yes,4,5,3,1,5,1,Getting Better,Yes,No Opinion,"Transport,  benefits,  flexi plan, good initial packages,  nice location,  best gender ratio in industry.","Less opportunity to grow,  monotonous work and too many changes.","I know its growing with big names and mergers,  why not let the good old capital iq be alive in there somewhere.",Nice work place but less growth opportunities
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW9704149.htm, ,2/25/2016,Alpharetta,Georgia,Yes,4,3,4,3,3,3,Getting Worse,Yes,No Rating,Great bonus structure (for now).,Not enough structure or process in place to scale business., ,Senior BI Data Warehouse Developer
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW9669235.htm, ,2/23/2016, , ,No,3,3,2,1,4,2,Getting Worse,No,No Opinion,"Autonomy, attractive women and men","Typically corporate 
Not well informed on macro finance and capital markets today,  out of touch",Get a life,Small Thinkers-
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW9649928.htm,Quality Engineer,2/21/2016,Hyderābād,Andhra Pradesh,No,5,4,4,5,5,5,Getting Better,Yes,No Rating,"Work culture, Timings, Flexibility and helping",There are no cons in particular,Very good management,One of the Best
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW9630426.htm,Analyst,2/19/2016,Ahmedabad,Gujarat,Yes,5,4,3,5,5,5,Getting Better,Yes,No Rating,"Work culture is great, very professional. Flexible in shifts. Competitive Colleagues.","To much of procedures regarding work flow, and changes the procedure for enhancing the work to be more comprehensive which is a bit tough to get acquainted to it.", ,Analyst in Mergers & Acquisitions
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW9623770.htm,Research Associate,2/18/2016,Hyderābād,Andhra Pradesh,Yes,3,3,3,3,3,4, ,Yes,No Rating,"Best company for starters, Salary is good,No work pressure.",No scope for self-development program of employees., ,Good
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW9604974.htm, ,2/17/2016,London,England,Yes,4,4,4,4,5,4,Staying the Same,Yes,Approve,"Well organized, friendly office environment
Opportunities to grow",Lack of consistent corporate vision over the last three years, ,Good company to work for
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW9600417.htm,Software Engineer,2/17/2016,Hyderābād,Andhra Pradesh,Yes,3,2,3,2,3,3,Getting Worse,No,Disapprove,Not much stressed work. Depends on you that how much do you want to get involved. If you step into some project then you will be getting more info of current system. Moreover nobody will stop you from or interrupt you in your work.,One of the worst management ever. In less than one year 4 to 5 times higher management is shuffled. Mid level manager have no idea of what they are doing. They are just chilling out there because they will not get job anywhere else. Nobody will understand no matter how much hard you work. Promotion is time dependent.,Keep two managers in performance review. Managers are partial. Take interviews in Telugu.,Software Engineer
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW9593655.htm,Senior Associate,2/16/2016,Hyderābād,Andhra Pradesh,Yes,4,3,3,3,4,4, , ,No Rating,"Excellent company for freshers, No work pressure and calm going.",I don't have any cons...., ,Senior Associate
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW9569702.htm, ,2/15/2016, , ,Yes,5,4,3,3,3,3,Getting Better,Yes,Approve,Can get good knowledge about finance.,I didn't much time to mingle with other colleague., ,NA
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW9519888.htm, ,2/10/2016, , ,No,5,5,5,5,5,5,Getting Better,Yes,No Rating,Good working place specially for the new joinees,None. Good scope of development, ,Co-op Software Developer
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW9512627.htm, ,2/9/2016, , ,Yes,2,2,2,1,3,1,Getting Worse,No,No Opinion,"good product overall
large company with opportunities for growth
good hours","Very Hierarchical
Boys Club
Hard to move internally
Poor development plan on product side, many changes and no vision relevant to whatcertain  markets want", ,Not bad
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW9508424.htm,Leveraged Loan Analyst,2/9/2016,New York,New York State,Yes,4,3,4,5,5,5,Staying the Same,Yes,Approve,"Benefits are very good, work life balance is good. The people and work environment is a positive place to work.","Minimal skill set built via day-to-day work, career opportunity advancement has a ceiling due to group size. Not many other issues.", ,Solid entry level position
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW9506009.htm, ,2/9/2016, , ,Yes,4,4,3,3,5,4,Staying the Same,Yes,No Opinion,"good life work balance, benefits are not too bad, just replaced new coffee machine.",salary is lower than other tech company for software engineer. A lot of management changes recently,"management is ok, just too much changes in the last year. it's better if keep it more stable",good company to start
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW9491574.htm, ,2/8/2016, , ,No,3,1,4,3,4,3, , ,No Rating,"Compensation is satisfactory.
Working hours are flexible with no stay backs","The work is not challenging
No scope of personal development and learning", ,Not for long haul
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW9490213.htm,MBA Finance,2/8/2016,Hyderābād,Andhra Pradesh,Yes,3,0,0,0,0,0, , ,No Rating,This is one of the reputed company.,I want to prove my capabilities., ,MBA FINANCE
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW9484354.htm, ,2/7/2016, , ,Yes,5,0,0,0,0,0, , ,No Rating,it has been a really good experience due to the environment,At times it feels like a bit monotonous, ,Sales
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW9467598.htm, ,2/5/2016, , ,Yes,1,1,3,1,3,1,Getting Worse,No,No Rating,"Strong brand name, well respected in the market.  Great benefits specifically for employees with families.",Company in constant restructuring mode (3 Presidents in the last 3 years)  Lacks diversity in managerial roles.  Very bureaucractic environment. which makes it hard to get anything done.,Work towards keeping talented people that want to see the company thrive.  Remove the cronyism.  it's bringing the company down.,Director
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW9422995.htm,Senior Research Associate,2/2/2016,Gurgaon,Haryana,No,4,3,4,2,3,3,Staying the Same,No,No Opinion,"Good pay, employee friendly, & good HR policies","too much work pressure, and less holidays granted", ,Good to work at the career start
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW9404611.htm,Senior Research Associate,1/31/2016,Gurgaon,Haryana,Yes,3,2,5,3,4,5,Getting Better,Yes,No Opinion,Great timing and decent package,work is very boring and bad,kindly do something to either change the work or make it more interesting,Good Company to work for
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW9398734.htm,Junior Research Associate,1/31/2016,Hyderābād,Andhra Pradesh,Yes,2,3,4,4,4,3, ,Yes,Approve,"Best platform to earn as a fresher, Supportive team, helpful Top Management..",Work culture is localised (people speak in native language)..., ,Good to earn more
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW9336471.htm,Software Developer I,1/26/2016,Gurgaon,Haryana,Yes,2,1,2,1,4,2,Getting Worse,No,No Opinion,Good work - life balance and flexible work timings.,"No learning, repetitive work, bad hardware, poor salary.", ,Software Developer 1
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW9313159.htm, ,1/24/2016, , ,Yes,5,5,5,5,5,5,Getting Better,Yes,Approve,Great company to work for. They management is good and they job connects you with some of the smartest people in the industry.,The job is tied to how the market performs. It can be difficult in emerging markets., ,Overview
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW9312326.htm, ,1/24/2016,Apac,Ancash,Yes,2,1,2,1,4,1,Getting Worse,No,No Opinion,"Work life balance, never have to work overtime or on weekends","Lack of brand awareness, inferior talent recruitment, constant organizational changes, low salary/compensation",Start paying comparable wages to recruit talents with higher quality - not just burnt out ex accountants from big4,Account Manager
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW9283599.htm, ,1/21/2016, , ,No,4,4,3,5,4,4,Getting Better,Yes,No Rating,"Nice location, Free Coffee and good minds","Honestly Cannot think of anything, all good","Nothing, they are going in good direction",SDE Intern
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW9277926.htm, ,1/21/2016,Hyderābād,Andhra Pradesh,No,4,4,4,3,4,4, , ,No Rating,"Gives a chance to develop leadership skills, provide regular managerial trainings, attractive pay, nice employee benefits, good organisational structure,","Working in shifts, no secondment opportunities,", ,Enhance yourself
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW9275836.htm, ,1/20/2016, , ,Yes,4,4,4,3,3,4, , ,No Rating,Good Compensation & Benefits for freshers. More Career Opportunities for growth,nothing about negative in CIQ, ,.
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW9241096.htm, ,1/18/2016, , ,No,4,4,4,2,4,4,Staying the Same,No,No Opinion,Good atmosphere. Great people.,Poor management. Very old technologies used,Top level management needs a bit of rearrangement.,Very few teams are good
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW9231626.htm, ,1/17/2016, , ,No,3,0,0,0,0,0, , ,No Rating,"Good platform for learning, good working environment.","low growth opportunities, difficult to do cross team work", ,Quality Analyst
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW9201672.htm,Quality Analyst,1/14/2016,Hyderābād,Andhra Pradesh,No,4,0,0,0,0,0, , ,No Rating,"Work Culture
People
Environment
Managers and the Top Level",No Cons from My Experience,No Advice from My Experience,S&P Capital IQ - The Best company for a Fresher
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW9152336.htm,Client Development Associate,1/11/2016, , ,No,1,1,1,1,1,1,Getting Worse,No,Disapprove,Good company and good perks and benefits for employees if you get a manager who allows you to have access to them.  HR is non existent at this company you may as well be calling your visa's client service 800 #.,"Most managers do not allow employees to utilize company perks such as work life balance, working from home, flexing your time, company paid extras such as cell phone, late work transportation, etc.",Do not continue to allow managers to deny employees in certain groups/teams access to firm wide benefits based on the managers fears. Train your managers on how to treat employees.,Client Development Associate
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW9141302.htm, ,1/10/2016, , ,No,4,0,0,0,0,0, , ,No Rating,"Positive work environment, innovation challenges, projects using many technologies",Takes time to get into big projects., ,Overall good.
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW9112578.htm, ,1/7/2016, , ,No,2,3,3,1,3,1, , ,No Rating,Decent talking points for your next job.,Zero communication amongst bosses and analysts. No training. No help. Set up to fail.,Any semblance of training would be a step in a direction.,Leveraged Loan Group
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW9102887.htm, ,1/7/2016, , ,Yes,4,3,4,3,4,4, , ,No Rating,Amazing work environment and respect,At times a bit lazy, ,Great Employer
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW9086246.htm,Transcription Proofreader,1/5/2016,Manila,Manila,Yes,5,3,5,2,3,3,Getting Better,Yes,Approve,"Comp and Ben Package. Best ever! Aside from 4 HMO family inclusion, there is medical/dental reimbursement. Bonuses and Salary is above average","When it's peak, it's peak! But if it's off-peak, life is amazing", ,Scopist/Editor
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW9085826.htm, ,1/5/2016,Centennial,Colorado,No,4,0,0,0,0,0, ,Yes,No Rating,I had a great experience at S+P.  I found the work to be rewarding.  Work life balance was also excellent,"The pace of work could have been much faster.  Also, as is typical with older companies, the technology was behind the times",Keep employees involved with new projects and faster works flows.  Moving projects more often can be helpful.,Great Company
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW9072727.htm,Senior Sales,1/4/2016,San Francisco,California,Yes,1,1,3,2,3,1,Getting Worse,No,No Opinion,Pay is good for what you're doing.  Very laid back environment.,"The company is on it's third executive committee in 12 months.  Part of this included laying off good, hardworking people who had been there for years.  On the west coast there is now a lack of management.  People come to work drunk and high.  Managers encourage this because they find it funny.  Promotions are based on friendships, not merit.  People consistently take naps in the office.",Fire the local management and start over.  Encourage employees by showing that hard work is rewarded.  Don't allow drug use in the office.,Used to be great
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW9065094.htm, ,1/4/2016, , ,No,2,2,4,2,2,2,Getting Worse,No,No Opinion,Le salaire est plutôt bon pour un JD ou un jeune avec peu d'expérience.,"Trop de stress, la hiérarchie est incompétente, le CE ne sert à rien et ce n'est pas prêt de changer d'après les retours de mes anciens collègues.", ,Trop de stress
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW9039713.htm, ,12/31/2015, , ,No,4,4,4,3,4,4, ,Yes,No Rating,Good people around u and it was fun along with work exposure for me.,Proper work is not distributed to all during intern., ,Great Place
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW9036583.htm, ,12/30/2015, , ,No,4,4,3,4,5,4, ,Yes,Approve,There is no hierarchy in the company. You are free to talk to anyone regarding any idea or any issue. Managers are pretty cool and lucky to have worked with one of the best person in the company.,Depends on the team you are in. I'm into one of the best teams in the company so not so many cons for me.,Hopefully the bonus and reviews can be improved.,Senior Software Engineer
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW9032015.htm,Senior Software Engineer,12/30/2015,Toronto,Ontario,Yes,4,3,4,3,5,4,Getting Worse,Yes,No Rating,"nice salary + automatic update at the end of the year + bonuses + dental coverage
good life/work balance","slow pace of changes, very rigid structure", ,Mostly posistive
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW9003055.htm, ,12/26/2015, , ,Yes,3,3,4,1,5,1,Getting Worse,No,No Opinion,Great people and good pay,"Company has been through several ""reorgs"" over the last few years which haven't resulted in anything tangible but everyone is constantly fearing they will be bumped off.  Recently acquired SNL Financial and the integration seems to consist of installing all the legacy SNL mgmt into senior positions.  Seems as if the new CEO is a committed manager but it's hard to see him pulling it off considering the legacy company he's was running wasn't even 1/10th of the size of the Cap IQ business.  Company is fantastic at coming up with new ideas every month but in reality nothing ever gets executed.",Sort out the org structure.  Keep it simple.  Get rid of at least 50% of the MD class.  Execute on projects and see them through.  STOP MAKING POINTLESS POWERPOINTS FOR EVERYTHING.  Nobody cares about your MBA.  Promote technically enabled people.,Slowly crumbling...
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW8994381.htm,Technology Quality Analyst,12/24/2015,Hyderābād,Andhra Pradesh,No,4,5,3,4,5,5,Getting Better,Yes,Approve,"1)The Technology division of S&P Capital IQ is fast paced and maintains a positive atmosphere. It was like a home away from home. The company outings happen twice a year and there is a lot of fun activities associated around it. Active participation is encouraged for Annual Day and sports activities that happen in different periods of the year. 
Proper Work Life Balance can be maintained
2) The teams follow agile methodology with a release every 2 and a half months. The short term goals and long term objectives are very clearly set for every team. The team members can also volunteer to suggest a necessary enhancement or project that they think their team could work upon. Initiatives are always encouraged
3) They have flexible timings. What they really care is if you are completing your goals on time or not. 
4) There are ample opportunities on various fronts, QTP testing, UI, back end etc. 
5) We get to take ownership of what we work in which is a great thing.
6) There is special care for ladies with ladies relaxation rooms in every alternate floor.","1) Growth really depends on the team you are in. The bell curve that's in place restricts increments and promotions. It totally depends on your Compensation Manager, which can go either ways. 
2) Onsite opportunities are less. It depends on the team you are in and your experience in the company",Good going. They would know it better.,"Technology Quality Analyst at CIQ, Hyderabad"
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW8981490.htm,Senior Financial Modeling Associate,12/22/2015,Hyderābād,Andhra Pradesh,Yes,3,3,2,3,4,3,Staying the Same,Yes,Approve,Good Working Environment and Well maintained work life balance,No problems as such in the company., ,Nice Experience of 2.5 years of my life.
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW8954260.htm,Research Associate,12/18/2015,Gurgaon,Haryana,Yes,4,3,4,4,5,4,Getting Better,Yes,No Rating,Comfortable Environment. Easy Work. Fixed Working Hours. Very competitive Salary,Not for building a career. Must switch in 2-3 years. Work can get monotonous., ,Good Place For Beginners
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW8925407.htm,Business Systems Analyst,12/15/2015,Gurgaon,Haryana,Yes,4,3,4,2,4,4,Getting Better,Yes,No Opinion,"Good environment, work-life balance can be maintained, flexible timings, cabs","ever changing management, no cabs for regular shifts",do not change so often.,Great Environment
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW8906082.htm,Software Developer Intern,12/13/2015,New York,New York State,No,5,4,3,4,5,5,Getting Better,Yes,Approve,Excellent work conditions. Great activities for engaging the employees and young and multi-ethnic co-workers,Just about average pay scale., ,Summer internship 2015
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW8818994.htm, ,12/3/2015, , ,Yes,3,0,0,0,0,0, , ,No Rating,"Research Associate role involves secondary research, good salary, company benefits",Monotonous and repetitive work profile,"Good management, but keep things transparent.",Research Associate
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW8798313.htm, ,12/2/2015, , ,Yes,3,2,4,2,5,2, , ,No Rating,"Free to work, No Pressure, Good Pay in the market",Should focus on quality rather than the targets,Please lift out the variable compensation pay,Research Associate
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW8766690.htm,Business Analyst,11/28/2015,Gurgaon,Haryana,No,4,4,3,4,4,4, ,Yes,Approve,"Good salary, work balance and people. 
Many opportunities.",Not much to learn. Routine work only so not exciting.,Employees should be allowed to work on new and latest technologies like NLP and Machine Learning.,Business Analyst
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW8763319.htm,Product Consultant,11/28/2015,London,England,Yes,4,4,4,3,5,5,Getting Better,Yes,Approve,competitive salary for an entry level position; fast career advancement if you know where to look; great name on your CV,not always performance based i.e. need to impress the right people; company going through a lot of change and many senior people have left,talent retention and fair appraisals,OK Overall
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW8751697.htm, ,11/25/2015, , ,No,4,3,5,3,5,4, , ,No Rating,Great place to work. Management takes very good care of its employees.,Work gets monotonous after a while. Not much scope for growth, ,Awesome place to work
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW8751566.htm,Research Associate,11/25/2015,Gurgaon,Haryana,Yes,4,4,4,3,5,4, , ,No Rating,Great working environment.... great facilities... People are nice... work is nice... you get to apply your concepts studied in your PG.... flexible working hours....,Lot and Lot of guidelines to be followed relating to your work... which takes lot of time to remember.,provide transport facility for day shifts also.,Research associate
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW8739270.htm, ,11/24/2015,New York,New York State,No,1,1,2,1,3,3,Getting Worse,No,No Opinion,"Good Education/training programs. Flexibility, culture, great benefits, 401k matching","Too much change in management, not enough promotion/growth opportunities in-house. Incompetent managers",Promote from lower-levels!!,Former Employee- Sales NYC
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW8715611.htm,Software Developer,11/21/2015,Hyderābād,Andhra Pradesh,No,2,1,1,1,1,1,Getting Worse,No,Approve,"Solely depends on the team you are working in.

A good place for elderly people and Hyderabadis to work on a routine basis.","In Hyderabad office they supports only Telugu people the most. They can be renamed as TNC (Telugu national company) instead of MNC. Everyone will talk in Telugu in meetings and no one cares whether you understood or not. Even senior officials will use to discuss about you that too in front of you in Telugu.

No good development work is currently available. Most of their products are already moved to maintenance stage. They were simply using developers to support their products. That too 24x7. 

No one will care about your feedback or ask you whether you like your work or not. Even if you express yourself it won't get addressed properly. 

Lot of micromanagement which you initially won't realize. 

No proper training. They are not interested in improving employees technical skills.

Policies are not followed equally thorough out the firm. They can be altered as your manager's wish.

Only 15 days of work from home is available for a year. Even a new mom with a toddler at home is also expected to work for 8 to 9 hours from office. They will question if you leave in 6 hours and log in from your home and work for 3-4 hours. They will even question if you are going to your home for lunch.

Colleagues are capable of peeking into your monitor anytime and ask questions on what you are doing. Its time for the firm to teach etiquettes to their employees.

Onsite team will expect you to be available even on a local holiday.

No friendly working environment. 

Assessment and ratings are not transparent. Lots of politics.

There is no proper hierarchy.

Canteen and food they provide sucks.",Seriously it is time for you to work on.,Poor management of talents and resources
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW8711259.htm,JRA,11/21/2015,Hyderābād,Andhra Pradesh,No,5,5,5,5,5,3,Getting Better,Yes,Approve,"- food coupons
- you can expand your knowledge
the manager was very cooperative
- shifts 
-ot allownces was there .. so you will get money for extra hours of work
-cab facility","- bad food court as they serve only south indian food which north people cant eat.
-lack of professionalism and you cant understand the english they speak .. its more like telugu",kindy change the canteen wala,a very good company to work with
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW8700853.htm,Senior Software Engineer,11/19/2015,Gurgaon,Haryana,Yes,4,3,4,3,5,5,Getting Better,Yes,Approve,"Very good environment, least politics, work life balance, supportive colleagues. Good compensations, Cab Facility (though not in normal day shift). Prospects to excel in career, keeping in mind one has to be proactive to learning new technology trends in market, as most projects run on legacy technologies (being a product organization). Although there are teams/projects which gives you advantage to do hands on with latest technology trends from market to your work. Overall a healthy organization.","Sometimes working with remote diversified teams affects, Growth not at a very fast pace but steady.",Make proactive steps to sync gaps and make more prompt projects execution patterns.,"Good place to work, Work-Life Balance, but keep learning to stay in sync with market"
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW8696268.htm, ,11/19/2015,New York,New York State,No,4,4,5,2,5,2, , ,No Rating,"great work/life balance, corporate perks",not a lot of upper level management or corporate structure organization,give better reviews,Sales Operations
