All reviews for SNL Financial as of 2019-12-01 20:10 PST. (No filters were used to create this file.)
# -------------------------------------------------------
# Employer's Name: SNL Financial
# Content: Glassdoor Reviews
# All Reviews through 2019-11-30
# -------------------------------------------------------
Employer's Name,Review Link,Job Title,Review Date,Review City/Town Name,Review State Name,Review Country Name,Current Job,Length of Employment,Employment Status,Overall Satisfaction,Career Opportunities,Compensation & Benefits,Senior Leadership,Work-Life Balance,Culture & Values,Business Outlook,Recommend to Friend,CEO Approval,Pros,Cons,Advice to Sr. Management,Headline,Employer Response
SNL Financial,http://www.glassdoor.co.in/Reviews/Employee-Review-SNL-Financial-RVW9709560.htm,Senior Analyst,2016-02-25,Ahmedabad,Gujarat,India,No,More than a year,Full-time,4.0,5.0,3.0,3.0,4.0,4.0,Getting Better,Yes,Approve,"*Work/Life balance
*Continuous employee engagement activities
*Well defined parameters for growth
*HR support to the employees has been immensely good","*Work politics is prevalent many a times, so, one needs to be capable enough of finding his/her way out of it
*Vague parameters for subjective grading during employee evaluation (this criteria comprises 20% of the overall grading) Rest 80%, which is objective is very transparent", ,One of the very few best companies to get into in Ahmedabad, 
SNL Financial,http://www.glassdoor.co.in/Reviews/Employee-Review-SNL-Financial-RVW9501136.htm,M&A Analyst,2016-02-08,Ahmedabad,Gujarat,India,No,Less than a year,Full-time,1.0,1.0,1.0,1.0,1.0,1.0,Staying the Same,No,No Opinion,"- Good for frshers to gain some knowledge
- Time adjustments are allowed however anyway you have to put in 9 hours daily. Even a minute less would be questioned","- Dissatiafactory compensation
- No worklife balance, most of the saturdays are working irrespective of workload sometimes
- Managers get into micromanagement, keeps track of each and every minute of yours
- Poor appraisal system, favouratism
- Limited learnings, saturation levels reached in less than 6 months", ,M&A Analyst, 
SNL Financial,http://www.glassdoor.co.in/Reviews/Employee-Review-SNL-Financial-RVW9248299.htm, ,2016-01-19,Charlottesville,Virginia,US,No,More than 5 years,Full-time,3.0,3.0,2.0,3.0,2.0,2.0, , ,No Rating,"Good people, casual work environment. Some teams - mine included - felt more like a small business (except for review time - then the corporate presence makes itself known. See ""cons"").","Bonus plan is an excuse for lower base pay. If you don't rank in the top category for performance, your bonus never achieves what's essentially promised at hiring. Work/life balance is not satisfactory.","If you aspire to have top performers in your company, you need to adjust (or abandon) the forced distribution of ratings. You're disillusioning a sizable portion of your workforce and will lose them - either because they get fed up, or because your rankings force them out. If people stay, but aren't ""superstars,"" they will lack motivation if they don't feel financially appreciated. Wake up!",Comp and review issues, 
SNL Financial,http://www.glassdoor.co.in/Reviews/Employee-Review-SNL-Financial-RVW9215926.htm,Analyst,2016-01-16,Ahmedabad,Gujarat,India,No, , ,4.0,4.0,4.0,4.0,4.0,4.0,Getting Better,Yes,Approve,Nice company to work in an organization.,Pay structure can be a better one., ,Analyst, 
SNL Financial,http://www.glassdoor.co.in/Reviews/Employee-Review-SNL-Financial-RVW9149904.htm,News Writer,2016-01-11,Makati City,National Capital Region,Philippines,No,More than 3 years,Full-time,2.0,3.0,3.0,2.0,4.0,2.0,Getting Better,Yes,Approve,"Above-average industry pay, good enough benefits. Laid back, learn as you go kind of environment, you don't have to bring home work. Nice people, except lots of food thieves (there has been a wallet thief too, during my stay). Office is in a good location.","Manila management is incompetent. Some of the foreign editors are micro managers, asking where you are all the time (can't I have a pee break, please?). They would choose older/experienced people for promotion over younger but highly-skilled and motivated associates.",Learn to appreciate your employees. Get motivated management who knows how to engage their employees in training and development. Don't just show up when you need to announce something.,"Passive management, less training & dev't opportunities", 
SNL Financial,http://www.glassdoor.co.in/Reviews/Employee-Review-SNL-Financial-RVW9045367.htm, ,2016-01-01, , , ,No,More than a year,Full-time,4.0,4.0,3.0,4.0,3.0,5.0,Getting Better,Yes,Approve,"I have worked with Template team in SNL for 2 years and my overall experience was very good in terms of learning and overall company ethics and values. Also, would recommend it as the best company to work in Ahmedabad.","Pays very less, at least the time I was working in the company. You get overworked and get paid very less at the end of the day. In small teams, also noticed some politics.", ,Good Company to work and learn, 
SNL Financial,http://www.glassdoor.co.in/Reviews/Employee-Review-SNL-Financial-RVW8951618.htm, ,2015-12-18,Ahmedabad,Gujarat,India,No,More than a year,Full-time,3.0,4.0,4.0,4.0,3.0,4.0,Getting Better,Yes,Approve,Good company to work with,No such thing for now,Keep it up,Analyst, 
SNL Financial,http://www.glassdoor.co.in/Reviews/Employee-Review-SNL-Financial-RVW8911179.htm,Associate Director,2015-12-14,Charlottesville,Virginia,US,No,More than 8 years,Full-time,1.0,1.0,3.0,1.0,1.0,1.0,Staying the Same,No,Disapprove,Compensation is competitive and colleagues are knowledgeable,Poor performance evaluation process using 'rank and yank' model; managers are typically poor; poor leadership; inequity of work/life balance,Recognize talent you have and dismiss the destructive managers that make political moves at the expense of subordinates,"Poor Management Style, Politics, Favortism", 
SNL Financial,http://www.glassdoor.co.in/Reviews/Employee-Review-SNL-Financial-RVW8798673.htm,Financial Analyst,2015-12-02,Ahmedabad,Gujarat,India,No,More than a year,Full-time,3.0,3.0,3.0,1.0,2.0,2.0,Getting Better,Yes,Disapprove,"good for fresher, pay also good for fresher","irrrilavant experiance, pilitics , arrogant attitude of senior management.",be alive fell ur company and employee.,us bank, 
SNL Financial,http://www.glassdoor.co.in/Reviews/Employee-Review-SNL-Financial-RVW8717509.htm,Project Manager,2015-11-22,Ahmedabad,Gujarat,India,No, , ,5.0,5.0,4.0,4.0,4.0,5.0,Getting Better,Yes,Approve,"- Great work life balance
- Awesome career opportunities
- Working flexibility
- Good employee benefits
- Awesome place for girls colleague who want to work in a MNC.",There is nothing specific apart from some general concern which is surely not a big deal if you have tons of cons.,Keep it up.,Nice company in Ahmedabad to work with, 
