All reviews for S&P Global Market Intelligence as of 2019-09-17 22:36 PDT. (No filters were used to create this file.)
# -------------------------------------------------------
# Employer's Name: S&P Global Market Intelligence
# Content: Glassdoor Reviews
# All Reviews through 2019-09-16
# -------------------------------------------------------
Employer's Name,Review Link,Job Title,Review Date,Review City/Town Name,Review State Name,Review Country Name,Current Job,Length of Employment,Employment Status,Overall Satisfaction,Career Opportunities,Compensation & Benefits,Senior Leadership,Work-Life Balance,Culture & Values,Business Outlook,Recommend to Friend,CEO Approval,Pros,Cons,Advice to Sr. Management,Headline,Employer Response
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW28939363.htm,Associate - Research,2019-08-30,Hyderabad,Telangana,India,No,More than a year,Full-time,3.0,2.0,2.0,1.0,3.0,3.0, , ,No Rating,Good working environment and management,If you are from Andhra then you will get a chance, ,Research Associate, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW28882873.htm,Product Consultant,2019-08-27,New York,New York State,US,No,Less than a year,Full-time,5.0,0.0,3.0,4.0,5.0,4.0, , ,No Opinion,"8 Hour Shifts  
Good work life balance
Friendly team",Could have been paid more competitively, ,Great Place To Kick Off A Career, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW28854815.htm,Manager,2019-08-26, , , ,No,More than 3 years,Full-time,2.0,1.0,5.0,1.0,5.0,1.0,Getting Worse,No,Disapprove,"- very good work-life balance, mostly because often there is no real job to do
- incredible pay-to-effort ratio","- poor quality of human talent, especially in EMEA
- the division rides on massive margins from the ratings business and the fundamental data platform is a neglected child
- culture of closeness, animosity and nepotism
- omnipresent toxic internal politics
- senior management detached from front-line reality
- back office functions are an indescribable mess", ,mediocre in every way, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW28848188.htm, ,2019-08-26, , , ,No, ,Full-time,5.0,5.0,4.0,5.0,4.0,5.0,Getting Better,Yes,Approve,"Great teamwork 
Good salary",I did not find any, ,Great environment, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW28841213.htm,Regional Sales Manager,2019-08-26,Indore,Madhya Pradesh,India,Yes,More than a year,Full-time,4.0,0.0,0.0,0.0,0.0,0.0, , ,No Rating,Good place to work and explore your skills,"Adoptability, working culture environment  and attitude",Nothing  but all good and up to the mark,Best experience, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW28808820.htm,Sales,2019-08-23,New York,New York State,US,Yes,More than 5 years,Full-time,4.0,5.0,5.0,4.0,5.0,5.0,Getting Better,Yes,Approve,"Fair compensation
Uncapped earnings
Great culture
Great management on Commercial Team
Great energy and inclusive, supportive atmosphere","Product team does a horrific job coming up with new, relevant content. The launch of the new product has been delayed several years and as such, our innovation has been cripplingly slow. Our Product team also appears to be very slow to react, which makes things difficult for the Sales team.",We need new talent in Product. Too many empty suits that don't seem to understand our client needs and don't have any sense of urgency.,"Great place to work, but Product Team is subpar", 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW28784567.htm,Senior Director,2019-08-22,Toronto,Ontario,Canada,No,More than a year,Full-time,5.0,3.0,4.0,4.0,4.0,4.0,Getting Better,Yes,Approve,Opportunity to face and solve new problems every day,"With a large group of people, somtimes there is duplication of effort",Continue to reward performance,Great place to work, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW28776585.htm, ,2019-08-22, , , ,Yes, ,Full-time,4.0,3.0,3.0,4.0,5.0,4.0,Getting Better,Yes,Approve,"Good balance between professional and personal life
Transparency in dataset
No biasness",Pay is low in comparison of work, ,Data Researcher, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW28757003.htm,Senior Accountant,2019-08-21,Hyderabad,Telangana,India,No,More than 8 years,Full-time,5.0,5.0,5.0,5.0,5.0,5.0, , ,No Rating,Best in the finance industry,It's a leading company in the market and no downside about it,Good Management Keep it up,Senior research associate, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW28700529.htm,Research Associate,2019-08-18,Hyderabad,Telangana,India,Yes,More than a year,Full-time,5.0,5.0,4.0,4.0,5.0,4.0,Getting Better,Yes,No Rating,Work life balance is good at this company,Differentiation between new hires and experienced employees, ,Best company, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW28696813.htm, ,2019-08-18, , , ,No, ,Full-time,5.0,5.0,5.0,5.0,5.0,5.0,Getting Better,Yes,Approve,"- good food
- good people
- good company","None, overall good to work", ,Wow, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW28681573.htm,Data Researcher,2019-08-17, , , ,No, ,Full-time,4.0,0.0,0.0,0.0,0.0,0.0, , ,No Rating,"Flexible work timing, Cabs facility, work life balance","night shifts, clerical work, technological obsolescence", ,Data Researcher, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW28546874.htm,Anonymous Employee,2019-08-09, , , ,No,More than 3 years,Full-time,2.0,1.0,3.0,1.0,2.0,1.0,Getting Worse,No,Approve,"S&amp;P offers great benefit with great 401k match, and PTO","S&amp;P was a great company to work when I first started, but since the merge with SNL started in 2017 and company culture is ruined!! Job security is no longer there and manny positions has been sent to India and Pakistan!!","Please give back to great culture the company used to have! Try to keep the talents! There is always good employees under a strong leader, not the leaders with no trust nor support! If numbers means everything, there will be no emotions or feelings involved, we are not machines. Number can’t catch the effort an employee has put in. Micro management is not a good way to lead a group of a good employees. If you can’t be a good leader, you can turn a good employee into a bad employee. Appreciating and respect is the least you can provide as a leader, but right now the basic common sense is missing! You will only lose more talent down the road!

Please bring the good leaders back!!!!",No Longer the S&amp;P you used to know!! Culture has been ruined!!,"Thank you for your feedback. At S&amp;P Global, we are committed to developing both our managers and team members to foster a positive and inclusive work environment where success is seen at all levels of our organization globally."
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW28546766.htm,Anonymous,2019-08-09, , , ,No,More than 3 years,Full-time,2.0,2.0,3.0,1.0,2.0,1.0, , ,No Rating,"Great benefits, S&amp;P is a great company, but not SNL!","Poor management, it’s getting worse and worse since 2017. This is not S&amp;P, it is SNL! Micro Management.","Need to bring back S&amp;P culture and soul! People should come first, then numbers.",Run away from this place!,Thank you for your feedback. S&amp;P Global is committed to a strong corporate culture with a strategic vision for our future success. We put our people first and continue to evolve the experience to ensure that our team members are proud to come to work every day.
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW28528475.htm,Senior Specialist,2019-08-08,Islamabad,Islamabad,Pakistan,No,More than 5 years,Full-time,4.0,3.0,5.0,4.0,4.0,5.0,Getting Better,Yes,No Opinion,Culture; Medical insurance; workshops and training; learning opportunities; well-established and clearly defined policies/procedures; monetary benefits and allowances.,Limited growth opportunities and undesirable managers in their Pakistan office.,"Don't give complete autonomy to managers in the Pakistan office, and retain control in the U.S. headquarters wherever possible. Value talent and discourage yes-man ship. Make merit based decisions and not on who likes who; it's only creating an army of yes-men who don't know what they are doing. Prefer sustainable growth through automation/lean methodologies and don't trust numbers achieved through overburdening/overworking of employees.","Good perks, culture and infrastructure. Limited growth with undesirable management in their Pakistan office.", 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW28498426.htm,Reporter,2019-08-07, , , ,Yes, ,Full-time,5.0,0.0,0.0,0.0,0.0,0.0, , ,No Rating,Great benefits and work-life balance,Tough to use product for users, ,Great company!, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW28461096.htm,Manager,2019-08-06,Gurgaon,Haryana,India,No,More than 8 years,Full-time,4.0,5.0,5.0,3.0,4.0,5.0, , ,No Rating,"Take care of employees, very employee friendly in terms of benefits like work from home",A lot of restructuring happened lately and communication from management isn't too clear always., ,Great Work Culture, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW28415999.htm, ,2019-08-03, , , ,Yes, ,Full-time,4.0,4.0,4.0,3.0,5.0,4.0,Getting Better,Yes,No Opinion,"1. Good projects
2. Good work life balance
3. Good management",1. Some Bad choices by management, ,Be here for challenging work and exciting workplace, 
