Employer's Name,Review Link,Job Title,Review Date,Review City/Town Name,Review State Name,Review Country Name,Current Job,Length of Employment,Employment Status,Overall Satisfaction,Career Opportunities,Compensation & Benefits,Senior Leadership,Work-Life Balance,Culture & Values,Business Outlook,Recommend to Friend,CEO Approval,Pros,Cons,Advice to Sr. Management,Headline,Employer Response
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW12807865.htm, ,11/28/2016,New York,New York State,US,Yes,More than 5 years,Full-time,3,2,4,2,4,3, ,No,Disapprove,Smart people (those who are left) who care about what they are doing; good work location (NYC); reasonably competitive salary and benefits,"Lost the human touch - CEO and company cares only about stock price, now.  Becoming a shop of anonymous robots.  Far too many layoffs over past 2 years - even at executive level.  Both business and IT have suffered catastrophic losses.  The most brilliant folks are now gone.
NOTE:   Ratings are primarily for IT department only - Ratings analytical jobs are still good", ,IT positions going down-hill fast - used to be great place to work, 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW12664205.htm,Credit Ratings,11/14/2016,New York,New York State,US,Yes,Less than a year,Intern,4,5,4,5,5,4,Getting Better,Yes,Approve,"Decent hours, good pay relative to hours, and interesting work",Not the most glamorous gig in NYC., ,Great Work/Life Balance, 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW12609056.htm, ,11/8/2016,Singapore, ,Singapore,Yes,More than 5 years,Full-time,3,3,2,2,4,3,Getting Worse,No,Disapprove,"Good experience, access to C-Suite and access to banking and credit businesses.","Unattractive pay, small organisation, limited growth and internal process stuck in time.",Be dynamic and decisive.,Credit Ratings, 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW12601729.htm, ,11/8/2016,New York,New York State,US,No,More than 10 years,Full-time,3,2,4,1,3,2,Staying the Same,No,Disapprove,"> work-life balance
> compensation
> benefits","New management is still experimenting with how the business should be run; the organization became very political.   Promotions/appointments are not merit based; it is a mystery how people are appointed to senior positions with no subject matter experience.  In most cases,  leadership is managing by fear.",Establish and manage by measurable objectives.  The majority of the employees in the IT department have no idea what their deliverables are.,Restructured three times in last 5 years, 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW12482860.htm, ,10/28/2016, , , ,No, ,Intern,4,2,2,3,2,3,Staying the Same,No,No Rating,Good intern program. Friendly office environment. Interesting work projects that lasted the entire internship.,Not great communication following the internship. Not a clear path after the program to get a full-time job. A lot of busy-work.,Provide more communication throughout the intern program in regards to how it can lead to a potential full-time job at S&P. More feedback throughout the program.,Summer Intern, 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW12467987.htm, ,10/27/2016,London,England,UK,No,More than 8 years,Full-time,4,3,4,3,3,3,Staying the Same,Yes,No Opinion,"Good Pay, Good Working Conditions, Interesting work","Constant organisational change, mediocre management",Do what you say you will,Structured IFnance, 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW12417167.htm, ,10/23/2016, , , ,Yes, , ,5,3,5,5,5,5,Getting Better,Yes,Approve,"Great Company. Good management. A lot of space for initiation,",Limited local career advancement. Needs improvment, ,Great Company, 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW12416755.htm, ,10/23/2016,London,England,UK,Yes,Less than a year,Full-time,4,4,3,3,4,2,Getting Better,Yes,No Opinion,you get a chance to progress,very low focus on tehnology,be more transparent,Decent place to work, 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW12339299.htm, ,10/17/2016, , , ,No, , ,5,5,5,5,5,5,Getting Better,Yes,No Rating,"Amazing opportunity. And great exposure to broad industries.
Really recommend applying for this internship",There are no cons for this internship if you are interested in credit ratings., ,Summer intern, 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW12334920.htm, ,10/16/2016, , , ,No, , ,2,0,0,0,0,0,Staying the Same,No,No Opinion,Job benefits are not bad,Famous name but not what it's cut out to be, ,"More responsibility, work more hours, no recognition", 
