"","X1","pros_page1","pros_page_rating_value"
"1168",129,"Open office, great working environment ,Every one is very friendly","3.0"
"1169",129,"this company is alright, you are able to work with smart and interesting people, you have access to free food, a lot of training available","5.0"
"1170",129,"Love  the working environment full of young energy, friendly and flat strucure, vibrant working environment and nice colleagues","4.0"
"1171",131,"Great environment and team working there. 
Awesome snacks
Commitment to employee happiness
Amazing benefits and company events","4.0"
"1172",131,"- Good Benefits
- Fun people to work with
- Good new projects","5.0"
"1173",131,"Good salary. Lovely people to work with. Nice buildings and work environment. Good location. Free snacks.","2.0"
"1174",131,"relaxed culture, push for tech","4.0"
"1175",131,"Great salary and great benefits package","2.0"
"1176",131,"There's a great atmosphere here, with many friendly, interesting,  and highly intelligent individuals. 
The work is very challenging and rewarding,  and the teams cover so many areas that there's something for every kind of developer. 
The company is also very generous to its employees, with some of the best health coverage and benefits.","3.0"
"1177",131,"Free breakfast/lunch/dinner/snacks, great benefits (bonus, health insurance, 401k, etc).","5.0"
"1178",131,"-Good salary, Amazing office, smart colleagues, career progression.","3.0"
"1179",131,"Good training, great R&D values from high up that (sometimes) filter all the way down. Some very cool technology depending on what team you end up in - however you get a good amount of choice following the training.","5.0"
"1180",131,"The access to resources and client information.","4.0"
"1181",132,"The access to resources and client information.","4.0"
"1182",132,"Foreign employees literally pay 0 for work visa, available option to relocate/transfer to different city once you're hired. A lot of financial product training, because this role accepts a lot of fresh grads/people with no finance background.  You can leave work on the dot. If you have kids/family issues, work from home is an option. Coffee and breakfast are sponsored. Many volunteer programs all employees can... participate. If you're a driven learner, it's easy to get started & mingle with other experienced employees.","5.0"
"1183",132,"Generous benefits, laid back, flexible, full of smart people","2.0"
"1184",132,"Corporate Events, Corporate Housing or Stipend, Competitive Wage, Intern Events, Hardworking Friendly Engineers","4.0"
"1185",132,"Great offices around the world and great perks too! Full huge kitchen to have snacks","2.0"
"1186",132,"Everyone here is smart, friendly, and on board to help each other learn.","3.0"
"1187",132,"Benefits are good, pantry and free breakfast in the morning","5.0"
"1188",132,"Competent, friendly, supportive people.  Good company tech support.","3.0"
"1189",132,"Great work/life balance if you have a family. Option to work from home is very appealing. Great maternity leave and benefits.","5.0"
"1190",132,"Good company with good benefits","4.0"
"1191",133,"Ótima empresa para se iniciar carreira. Muitas oportunidades de desenvolvimento, através de palestras e cursos. Preocupação com o bem estar do funcionário, possibilidade de se engajar em projetos voluntários, café da manhã diário. Cultura forte de meritocracia, equipes sentam lado a lado permitindo uma melhor e mais fácil comunicação entre as áreas.","4.0"
"1192",133,"- Buona cultura, ho incontrato persone molto intelligenti

- Azienda orientata all'innovazione, le idee di tutti vengono prese in considerazione

- Cibo e bevande gratis

- Salario buono","5.0"
"1193",133,"Get to learn many useful skills","2.0"
"1194",133,"Various opportunities to meet different types of people- especially in the pantry throughout the day","4.0"
"1195",133,"They have a kitchen space with free snacks and beverages for all and also a nurse on premises.  Most executives are also open to meeting with managers and providing advice and mentorship.  Great 401 k plans and networking opportunities.","2.0"
"1196",133,"Dentre os pontos positivos certamente incluem-se a boa quantidade de snacks, chás, sucos e cafés disponíveis gratuitamente e o incentivo contínuo ao aprendizado, através de trainamentos.","3.0"
"1197",133,"benefits are huge, only thing to look forward too","5.0"
"1198",133,"The best reasons to work at Bloomberg are the colleagues. You will work with some of the best and brightest people who truly believe in teamwork.","3.0"
"1199",133,"Very high exposure to the company, helps to get a full time offer. Many learning opportunities. interns very well treated.","5.0"
"1200",133,"venue, fishtanks, free coffees and snacks at modern caf","4.0"
"1201",134,"Good work life balance and mobility across regions. Projects with responsibility available","4.0"
"1202",134,"Extra effort that reap results are eventually rewarded.","5.0"
"1203",134,"Pretty flexible, interesting stuff to do if your project is interesting","2.0"
"1204",134,"International and diverse environment, fast paced, good benefits for full time employees","4.0"
"1205",134,"Amazing company to work with.","2.0"
"1206",134,"Some of the best colleagues I've ever worked with - very diverse crowd.","3.0"
"1207",134,"great values in the office","5.0"
"1208",134,"Great place to work - lots of resources and great compensation.","3.0"
"1209",134,"Proactive company, fosters leadership. 

Excellent place to work if a programmer","5.0"
"1210",134,"Good compensation and medical benefits","4.0"
"1211",135,"Good compensation and medical benefits","4.0"
"1212",135,"Great company to work for.","5.0"
"1213",135,"Brilliant Developers
Excellent Engineering Management
Smart Product Managers
Great Benefits","2.0"
"1214",135,"Bloomberg provide unlimited beverages and snacks to all employees and contractors. People are nice","4.0"
"1215",135,"- Dynamic, fast paced, open environment
- Multi-cultural - diversity in staff 
- Always new opportunities to grow and develop new skills","2.0"
"1216",135,"flexible, some team leaders very willing to give you many opportunities","3.0"
"1217",135,"Free breakfast, snacks, beverages. Relaxed atmosphere.","5.0"
"1218",135,"Really good company, everyone helps each other and you have space to prove your value.
If you work hard, everyone congrats you for that.","3.0"
"1219",135,"great training, supportive work environment, good benefits/compensation, good work/life balance","5.0"
"1220",135,"Great benefits, nice culuture, friendly people.","4.0"
"1221",136,"Good Benefits, Free Health Care,","4.0"
"1222",136,"Good opportunities for advancement via Sales or other departments. Work hard, make connections and you can do anything that you want. Good on the job training, too.","5.0"
"1223",136,"Flexible environment to work in. Everyone comes across helpful and cooperative . 

Flat structure where employees have massive impact, contribution in their prof. Development

Very multi cultural

Dynamic and fast pace","2.0"
"1224",136,"Free breakfast, lunch, snacks, good company culture","4.0"
"1225",136,"Great benefits and learning centre","2.0"
"1226",136,"- Great functional challenges. In Bloomberg you work in many ""small"" problems and you see how clients use them.
- Many team have their clients in the same building, this makes the development cycle much smoother.
- Pay way above the market and raises are far far away from the average. 
- Company culture. You really feel empowered and protected. They take care of everything they can to facilitate your life. Ex: If... you have child, you have 10 ""emergencies nannies"" just call and some come home to help you with the kids.
- Work with many smart people. The average is pretty high.
- Private company, stop worrying about shares, investors and other crap, there is money to fund any project that is good in the short, medium and long term.
- Flexibility, if you do the job, no one questions what you do.'
- Flat structure: Speaking about a project with the top management or the founders is not something that you see in all companies, but feels sh*t good when a guy among the richest of the world feels proud of your work and tells you about it.
- Philanthropy, when you have a bad day you can just think that you are working for a company where all the profit goes to charity :)","3.0"
"1227",136,"amazing place to work- food everywhere, very nice supervisors who looked out for me, many chances to network and meet people outside of my own department","5.0"
"1228",136,"- Fast, ever-changing. There's always a new target
- Newer hires get a lot of responsibility. You will be making meaningful contributions within a few weeks of joining, and will have the opportunity to plan out your systems and try out new things
- Good work-life balance, probably 90-95% of the time
- Verticals have opportunities to try the latest and greatest in tech","3.0"
"1229",136,"Buena formación y una quedada alucinante en Londres. Me sentí orgulloso de representarlos en el campus. Lo haría otra vez.","5.0"
"1230",136,"innovative, fast paced, open to new ideas","4.0"
"1231",137,"innovative, fast paced, open to new ideas","4.0"
"1232",137,"- nice environment with really people and nice cafe to ate really good food from time to time","5.0"
"1233",137,"Great healthcare benefits, Great snacks, Great perks, Lots of free tickets to all events in NYC","2.0"
"1234",137,"Working with really smart people","4.0"
"1235",137,"Good community, employee events, free snacks, great working environment, modern offices","2.0"
"1236",137,"Good People
Good work-life balance
Straightforward daily tasks
Great office(s)","3.0"
"1237",137,"good insurance, benefits, 401k. 
fancy building, free snacks. 
However, any other tech company would have at least this level of benefits.","5.0"
"1238",137,"The perks of working at Bloomberg are great. Good salary, great benefits, and an education that rivals the best intern programs or after college programs you can probably pay for. Great if you want to get a basic knowledge of all financial markets.","3.0"
"1239",137,"-Private company, focuses on employee well being.
-Part of company´s profits are redirected to Bloomberg Philanthropies non profit organization.
-24 hour food pantry.
-Great company culture.
-Amazing CEO and upper management.
-Challenging, diverse environment. 
-Flat structure.
-Fantastic work life balance.","5.0"
"1240",137,"Nice environment friendly managers, great location to work in, can easily get to the offices. massive food court with lots of varieties. offices are very modern.","4.0"
"1241",138,"Good compensation and benefits. Great leadership by Mike Bloomberg. Very positive experience to be a part of this company. Many chances to relocate including overseas.","4.0"
"1242",138,"Incredible Team
Great Community
World renowned talent on both the terminal and media sides","5.0"
"1243",138,"Amazing opportunities for developing new skills, connecting with brilliant colleagues from different departments and businesses, and unparalleled access to the finance community via the Bloomberg platform. You'll get to work with some of the most amazing people in an open, dynamic culture of constant evolution.","2.0"
"1244",138,"company compensates employees better than most in the news business
benefits are competitive
local staff treated mostly equally as expats, unlike at many other news organizations","4.0"
"1245",138,"Generally nice colleagues and access to the terminal
Free food and nice staff","2.0"
"1246",138,"- great workplace environment, everyone seems friendly
- many classes that interns can take
- you're doing work that (usually) actually matters","3.0"
"1247",138,"Visually appealing work environment.  Nice perks like food pantry.   Nice opportunities to volunteer.","5.0"
"1248",138,"Possui ótima estrutura de trabalho. Grande possibilidade de crescimento e aprendizado. Ótima administração. Compreensão por parte da empresa.","3.0"
"1249",138,"The internship provided me a platform for development. All the team was helpful at all the time and I can say that I have majorly gown in knowledge","5.0"
"1250",138,"Everything is open.  Transparency is a core value! There are no walls. Everyone can see everyone. Nobody has their own office NOT EVEN BLOOMBERG HIMSELF. Free snacks are superb, except for the M&Ms.","4.0"
"1251",140,"Other than compensation and benefits, there are none.","4.0"
"1252",140,"Benefits were unbeatable across all industries!","5.0"
"1253",140,"friendly colleague ( mostly) 
Good place to have a very relaxed job with medium pay","2.0"
"1254",140,"Team dynamics is the best part","4.0"
"1255",140,"Its a great organization to work for. Superb benefits and great work life balance. The work ends when you walk out the door in the evening. The awesome Pantry also helps !","2.0"
"1256",140,"Free food, terminal exposure,","3.0"
"1257",140,"- Company that greatly values their employees development.
- Great open-minded, approachable management
- Unlimited pantry with free coffee and snacks 
- Flexible working hours
- Greatly imbedded with philantrophy
- Career progression","5.0"
"1258",140,"Great company to work for","3.0"
"1259",140,"good benefits/ good business location","5.0"
"1260",140,"Flat management structure with access to higher management at ease","4.0"
"1261",141,"Work Visa, nice food in office, very attractive people !","4.0"
"1262",141,"Good Pay,Snacks and drinks,good office","5.0"
"1263",141,"Great working environment, nice package, enjoy all the food and staff benefits","2.0"
"1264",141,"Amazing benefits, free food, smart co-workers, access to the terminal","4.0"
"1265",141,"Great benefits. Free snacks, drinks and fruits. Good balance between life and work. No pressure or shouts from trading floor like typical investment banks.","2.0"
"1266",141,"Great benefits. Innovative company. Good growth opportunity depending upon the division assigned. Some independence in business decisions. Rewarded well for being a team player. Salary could be better but overall pretty good given the fantastic benefits.","3.0"
"1267",141,"Great benefits. Good pay. Decent work. Bright, nice people to work with. Very responsive support systems. You will never have to wait for help to get software installed, and if you have a doctor bill that doesn't make sense they have reps that will literally do all the work to make sure you are getting all the benefits you are entitled to. They rock at reducing friction between you and your job. No one ever says... ""that's not my job"" And since its privately owned, the profits go to Bloomberg Philanthropies which champions great programs and brings a net positive value to the world.","5.0"
"1268",141,"Vibrant and open environment and culture","3.0"
"1269",141,"Amazing perks: business travel perks are beyond stellar, health care great, 401 K matching high, in office perks include free snacks and coffee. Great people","5.0"
"1270",141,"A empresa investe alto no bem-estar do funcionário. Tem alto impacto social na cidade, o que é positivo. Tem uma infra excelente, além de proporcionar um alto grau de aprendizado.","4.0"
"1271",142,"Free snacks, summer picnic, good health benefits, get to work with smart people. 4 weeks vacation (when you're actually able to take it.)","4.0"
"1272",142,"Good Benefits, nice people, great office","5.0"
"1273",142,"Bloomberg has a very specific culture and they work very hard at maintaining the stability, integrity, happiness and fairness for all their employees across all work domains. They really strive to take care of you and also are very focused on their clients and supporting them. Their culture is however a bit entrenched and rigid so you either like it or you don't. Overall the company is extremely stable, performs... well and runs smoothly. They also managed not to fire anyone during the economic downturn of 2008 which says a lot about how they operate. One last plus in their favor is that they are very green, conscientious about the environment, therefore they do a lot of recycling and energy saving. For a large NY corporation this is very rare!
Lastly, as an engineer, you will work with some of the brightest people in the city. Bloomberg goes to crazy lengths at attracting the best of the best.","2.0"
"1274",142,"Good pay and benefits, great offices, and great people to work with. But, not a place to work if you want to have a life outside the office. There is lots of corporate talk about how they support work-life balance, but when push comes to shove, they really don't.","4.0"
"1275",142,"Good place for recent graduates to build knowledge.  Bloomberg Philanthropies does great work with the profits.","2.0"
"1276",142,"Everybody is very accommodating and friendly","3.0"
"1277",142,"Benefits (free massages); healthy snacks, cool workspace, floor layout. Management is one of the best - they know how to run a company. Dominant position in the space it is in. Constantly innovating though some areas do a better job than other","5.0"
"1278",142,"Nice food great team I love it there","3.0"
"1279",142,"Glamorous company, good salaries benefits and lots of perks.","5.0"
"1280",142,"Reasonable salaries, reasonable work-life balance, good retirement and insurance package. They promote innovation, philanthropy and having fun.","4.0"
"1281",143,"Reasonable salaries, reasonable work-life balance, good retirement and insurance package. They promote innovation, philanthropy and having fun.","4.0"
"1282",143,"Food - free breakfast and essentially lunch
Medical/dental is free at the moment","5.0"
"1283",143,"Great place to work! Great culture! Pays well.","2.0"
"1284",143,"Famous product and CEO. Great name in the industry. Beautiful offices. Free snacks. Very solid health benefits.  Open workspace for all.","4.0"
"1285",143,"Enriching experience, very professional. 
Challenging work, everyday was different. Never had to worry about work getting monotonous. Fast paced, dynamic. Learnt a lot about giving back to the community. Great HR team.","2.0"
"1286",143,"a lot of opportunities to develop products, flexible work schedule","3.0"
"1287",143,"A pro is the Open culture","5.0"
"1288",143,"- Slightly above average graduate salary 
- learn to use the terminal well
- exposure to pitiful management so you know how NOT to manage a company in future","3.0"
"1289",143,"Always learning, encourage team work.","5.0"
"1290",143,"Good pay, benefits. Lots of good people here, great CEO","4.0"
"1291",144,"Lots of opportunities to move withing department if you find something you like, and even work overseas.
Great management who are willing to support and help you grow","4.0"
"1292",144,"Fantastic manager to work for - she was extremely responsive to my needs and it was a pleasure working for her.","5.0"
"1293",144,"Excellent work environment and outstanding colleagues","2.0"
"1294",144,"I worked at Bloomberg for over 14 years. It was a great place to grow in my career in move up in the ranks. Their compensation and bonus package are unbeatable.","4.0"
"1295",144,"Relaxed working environment. 
Food always available for free in the pantry. 
Nice colleagues. 
Good start of a career. 
Terminal knowledge.","2.0"
"1296",144,"flat company structure, collaborative and open culture","3.0"
"1297",144,"Things move fast, anticipate changes to progress, flat structure, can be any role you want, great pantry and benefits","5.0"
"1298",144,"highly motivated, thoughtful people with solutions driven mentality. A lot of room for growth both horizontally and vertically across the company. An overall general sense that the company is looking out for your best interests as an employee.","3.0"
"1299",144,"Excelent benefits, nice environment, great place to learn","5.0"
"1300",144,"Transparent, exciting, buzzing with enthusiasm, fast-paced, equal opportunity employer.","4.0"
"1301",145,"Transparent, exciting, buzzing with enthusiasm, fast-paced, equal opportunity employer.","4.0"
"1302",145,"Excelente empresa, benefícios, preocupação com o bem estar e voluntariado. Ambiente que envolve a todos e encanta pela magnitude do escritório, eficiência nos serviços e resultados.","5.0"
"1303",145,"Great team of editorial and technical people
Shows produced are first of its kind in Malaysia
High quality work","2.0"
"1304",145,"good company at terminal level","4.0"
"1305",145,"Some of the best reasons to work at Bloomberg? It's warm in the winter and cool in the summer.  You are always aware of breaking  news. The building is pretty...","2.0"
"1306",145,"Good Food and Snack.
Good Brand Name on the resume CV.","3.0"
"1307",145,"Good perks, receive many tools to succeed and develop personal skills.","5.0"
"1308",145,"Free Food is available for all employees. Firm provides sufficient training and resources for new employees.","3.0"
"1309",145,"Exceptional benefits, including gold-plated health insurance coverage, up to $7,500 401k match, generous education reimbursement policy and 17 weeks paid maternity/4 weeks paid paternity leave.","5.0"
"1310",145,"Bloomberg is a fast paced, very exciting and competitive place to work with opportunities in many different fields and in many metropolitan locations worldwide.","4.0"
"1311",146,"good compensation, good benefits, free snacks","4.0"
"1312",146,"BLP is a safe and diverse environment. If you like structure and quality training, this is the place for you. The benefits are excellent and the pay is fair.","5.0"
"1313",146,"Company treats employees well - good pay, benefits, vacation time, etc.
Nice offices, everybody can see windows, lots of snacks
Teamwork is encouraged, you don't get isolated unless you want to be
Lots of things going on, doesn't get boring
Depending which team you are on, fascinating projects to work on
They make tons of money and are privately held, they can power thru economic downturns like 2008-2009... without layoffs","2.0"
"1314",146,"Work with smart people
Great benefits
Constantly challenged to improve
Good training benefits
Pretty good job security 
The terminal is an amazing tool","4.0"
"1315",146,"Great work environment, learn a LOT about the markets, great culture and fellow employees","2.0"
"1316",146,"Flexible work hours, Various career growth paths","3.0"
"1317",146,"Perks - lunch, 401K, pretty good healthcare, great pay.","5.0"
"1318",146,"Free food, no stress, no chances to get fired","3.0"
"1319",146,"Everything we do is important and for a purpose.  All the projects help the company out and no one treats you any less than any other employee.","5.0"
"1320",146,"good pay, good benefits, and very flexible work hours","4.0"
"1321",147,"Lots to learn from environment","4.0"
"1322",147,"Good place to start your career, good place to meet people and build your general knowledge at least in the Data side of the company. Good salary and benefits, well know brand.","5.0"
"1323",147,"- Good benefits
- Free Food","2.0"
"1324",147,"Empresa que preza a qualidade de vida e respeito aos funcionários. Ótimos benefícios, salários competitivos e facilidade de conseguir uma recolocação no exterior.","4.0"
"1325",147,"Good Pay and for regular employees, good benefits","2.0"
"1326",147,"people are first class. very bright and motivated. Bloomberg has hired experts in many diifferent aspects of technology, finance, and news in one place. Flexible work style accomodated.","3.0"
"1327",147,"Constant learning, fast pace, meritocracy, energetic inspiring environment. Innovating products. Great offices.","5.0"
"1328",147,"1) Good company with great training as a fresher
2) Great Food","3.0"
"1329",147,"Fast Paced Challenging Environment with lots of accessible technical/proudct knowledge
Great Company culture and working environment
Accessible communication between management, departments
very clear hierarchy system","5.0"
"1330",147,"Good reputation, good work life balance","4.0"
"1331",148,"Flat structure , easy to learn a lot of knowledge","4.0"
"1332",148,"Young, optimistic community with a can do attitude in the Analytics department.","5.0"
"1333",148,"great working environment and benefits, multiple challenges","2.0"
"1334",148,"Positive outlook 
New hires feel welcome 
Open to new ideas","4.0"
"1335",148,"Very open culture and work day. You can mostly decide what to prioritize and what to focus on at the job. 

Free food.","2.0"
"1336",148,"-Good experience for new graduates who'd like to get into finance / banking 
-Pretty offices wish fish tanks 
-Lots of sugary snacks","3.0"
"1337",148,"client exposure is excellent; you'll build a great network","5.0"
"1338",148,"Good training. Learn a lot.  Impressive on resume","3.0"
"1339",148,"Wonderful people to work with, flexible schedule, understanding about family issues, unlimited sick days, great medical and dental coverage for the whole family","5.0"
"1340",148,"good work life balance, not much stress if you preform","4.0"
"1341",149,"Great pay, great fish tanks, not publicly held, most everyone is smart, Mike knows what he is doing, is that 20 words yet?","4.0"
"1342",149,"Modelo de gestão baseado na meritocracía; excelente ambiente de trabalho; colaboradores com alto nível acadêmico e intelectual; processo constante de treinamento e oportunidades de desenvolvimento profissional e pessoal.","5.0"
"1343",149,"Great community outreach, better technology processes in the pipeline. Much improved over the years.","2.0"
"1344",149,"Excellent benefits, free lunch, lots of problems to solve and an overall push for technical growth for everyone. Management encourages you to try new things and encourages growth. Managers allow you your independence and there is not a lot of hand holding.","4.0"
"1345",149,"Excellent opportunities to learn about the markets and to get in-depth knowledge about how an asset class work.  A lot of young people makes for a social and fun workplace. Benefits are great. No expectation to work extended hours is really appreciated.","2.0"
"1346",149,"learning curve is high for the first six month","3.0"
"1347",149,"Benefits are great, they start day 1 and you don't pay for benefits. They have a pantry so all the snacks and drinks you can get.","5.0"
"1348",149,"A very dynamic and multicultural company. The company culture prompts being sociable– the pantry (all day, everyday), meritocratic system, great office space, can engage in helping society, e.g volouteer etc.","3.0"
"1349",149,"The culture is fun and exciting","5.0"
"1350",149,"Good pay for the later years","4.0"
"1351",150,"Great community, employer cares about employees.","4.0"
"1352",150,"Low hierachy
Benefits
Open cultures
Pantry like a minimart","5.0"
"1353",150,"Good salary and not very busy","2.0"
"1354",150,"Fun and interesting job for college students","4.0"
"1355",150,"There is high exposure to the financial markets with their different roles. As a company it is extremely multicultural and has mostly young staff which creates a good atmosphere.","2.0"
"1356",150,"Free food! That's it. Let you listen to music while working.","3.0"
"1357",150,"Beautiful work environment, strong IT support, fast-paced culture, incredible employee benefits.","5.0"
"1358",150,"The people that you actually connect with, will be friends for life.  There are definitely opportunities for you to grow personally, but they are not always obvious.","3.0"
"1359",150,"Somewhere to work as a backup plan between jobs.
Free toilet paper.
Free snacks.
Free training how to be a better Bloomberg employee.","5.0"
"1360",150,"The salary may seem a little low, but you save money with the free breakfast, lunch, and if you stay late enough, dinner. All positions are unique. You are given a job title, but you can organize it how you want to. You could do more work on the coding side, on projects, or both.","4.0"
"1361",151,"Free snacks. Casual dress. That's it.","4.0"
"1362",151,"great place to develop your career and take on more responsibilities
flat structure and collaborative and entrepreneurial environment
you are surrounded by smart and driven people","5.0"
"1363",151,"Dynamic and vibrant atmosphere. Good mix of European and Global workforce which makes for a diverse workplace. 

Good 8 week training program for new recruits to give you a thorough understanding of how the markets work and how Bloomberg sits in the market place as a competitor.","2.0"
"1364",151,"Good benefits for family, they take care of you if you are loyal to them. Big company therefore opportunities to move around also. I was there for nearly 9 years and was able to create multiple roles for myself as a software engineer. Great place to learn about technology and business.","4.0"
"1365",151,"Solid benefits, snacks, office and office environment.","2.0"
"1366",151,"Great culture and a nice place to work","3.0"
"1367",151,"good benefits and good working enviroment.","5.0"
"1368",151,"Great work environment in a fast paced open space. People are great all working towards one goal of customer satisfaction.","3.0"
"1369",151,"Great work environment and great employees. A lot of networking opportunities.","5.0"
"1370",151,"Good salary and benefits, smart people to work with","4.0"
"1371",152,"Good salary and benefits, smart people to work with","4.0"
"1372",152,"Great Benefits and a nice place to work with nice people
Free food
Clean work environment
Will learn skills that will benefit you in life","5.0"
"1373",152,"Good Benefits and salary for starting job","2.0"
"1374",152,"Training opportunities, free food, great philanthropy and sustainability goals, excellent benefits","4.0"
"1375",152,"great work life balance. Great food. very encouraging work environment. Cool atmosphere. Casual Friday. developed additional skill set while working there","2.0"
"1376",152,"Good benefits/time off plans. A lot of flexibility around your schedule and travel schedule.","3.0"
"1377",152,"Great software engineers as coworkers.","5.0"
"1378",152,"Good infrastructure, benefits and work culture. Employees work hard. Everything is streamlined. All issues (non-technical) are resolved very fast and efficiently. Extremely good insurance and other benefits (including free museums, Employee assistance programs, summer picnic, volunteering opportunities etc.)","3.0"
"1379",152,"Young crowd, hardworking, lots of opportunity to move internally.  Lots of perks for full time employees and looks great on CV. Decent salary, bonus ok and almost guaranteed.","5.0"
"1380",152,"The company is well known and it gives you the opportunity to find a better job afterwards, due to its reputation.","4.0"
"1381",154,"- Working with smart people, most of them are ready to help
- Well furnished pantry where you can grab a coffee with colleagues
- Lot of training options for you to learn (even if not directly related to your working domain)
- Possibility to move within the company (change team)
- Get to travel quite a lot depending how much you are involved in outside-work activities
- Philanthropy: if you like it, you can get... involved into helping the world
- Bloomberg matches most of the financial donation you make
- Flexibility. If you have a good reason you can have a flexible schedule (6am - 4pm, for example)
- In general, management will try to please employees (as well as interns)","4.0"
"1382",154,"Prestigious company to work for!","5.0"
"1383",154,"Amazing benefits, beautiful facilities, free pantries, youthful and energetic culture, great mobility and opportunities, snacks, positive energy, you can stay many years and have many different jobs. Pay is good and raises very nice.","2.0"
"1384",154,"Encourage to work outside comfort zone continuously.","4.0"
"1385",154,"Free breakfast and lunch everyday. Nice people to work with and a foot in the door at one of the best companies to work for.","2.0"
"1386",154,"Greet company to be apart of","3.0"
"1387",154,"- Best benefits on the market. Bar none. 
- Supportive management team. Own your career.
- Flat organization structure. 
- SMART PEOPLE","5.0"
"1388",154,"Flexible and relaxed culture
Exposure to all the market players in finance
relatively easy to shine 
Great benefits and work life balance","3.0"
"1389",154,"Salary, travel, Bloomberg culture and summer party. Oh and the kitchen! Rewards are few and far between. 98% of your eval will concentrate on the 2% of things to improve on","5.0"
"1390",154,"Great benefits. Professional Staff. Team Environment","4.0"
"1391",155,"The hours are not bad at all, working 8-5 or less depending on your team. When at work, it is very easy to only actually do roughly 3 hours of work per day and spend the rest browsing the news (as a shockingly large number of people do), or working on your resume & linkedin, or writing scathing glassdoor reviews. 401K and all benefits are great. There are some really great people here as well, it's just that most of... them will be out the door sooner or later for a better opportunity.","4.0"
"1392",155,"-lots of snacks and drinks
-great pay
-great ""culture""","5.0"
"1393",155,"BBG has incredible Innovation, benefits, career advancement, an compensation. Great firm to launch or finish career as advancement is based on merit.","2.0"
"1394",155,"Free snacks
Clean office
Access to a lot of news around the world
Great if you're right out of college but not a long term job","4.0"
"1395",155,"free food
really bright people
lots of training
philanthropic company
competitive salary","2.0"
"1396",155,"Superbe société, une ferrari dans son domaine, expérience trés enrichissante... Tout est bien huilé et fonctionne de manière optimale...","3.0"
"1397",155,"There are good benefits, snacks and state of the art equipment. Standards are very high but there is also training to help you get better at your job through Bloomberg University","5.0"
"1398",155,"small team with hardworking employees","3.0"
"1399",155,"Free food, good overal overview of financial players and the freedom to go and sit with our departments. Good pay","5.0"
"1400",155,"Very competitive salaries. Some of the best benefits I've found anywhere. Lots of opportunity to move around within the company.","4.0"
"1401",156,"Very competitive salaries. Some of the best benefits I've found anywhere. Lots of opportunity to move around within the company.","4.0"
"1402",156,"free snacks, cool office, great benefits","5.0"
"1403",156,"18 weeks fully paid maternity leave. no premiums on health insurance for self and children. matching 401k up to 12 percent. 20 days vacation.","2.0"
"1404",156,"Flexible organization and open to allowing you to move divisions and countries","4.0"
"1405",156,"Good opportunity
very international
young team of motivated people","2.0"
"1406",156,"Good place for starters and learners.","3.0"
"1407",156,"-Solid benefits package
-Great pantry
-Young vibe
-Learn lots in the beginning about finance, sales, etc.
-Driven & vibrant atmosphere","5.0"
"1408",156,"Awesome environment, approachable management","3.0"
"1409",156,"nice offices
looks cool bloomberg in house technology","5.0"
"1410",156,"Learn the basics of buy-side workflow in a strong team environment. Two-week training in New York City.","4.0"
"1411",157,"Free food, 401k, health benefits, Mike Bloomberg","4.0"
"1412",157,"Part of Bloomberg. Very stable compared to your average company, especially financial firms. Really do take a long-term view. Lots of people who have been with the company for many years. In general I would say Bloomberg takes good care of its people and it's a good place to start a career.
Being part of Bloomberg can have a lot of advantages. A lot of potential here.","5.0"
"1413",157,"Good opportunity and good growth, can learn a lot, always wanted to do this kind of job where it is of my interest.","2.0"
"1414",157,"Benefits, Travel, Policies are the best anyone can offer","4.0"
"1415",157,"focus on employee, dynammic, results,","2.0"
"1416",157,"Good benefits, free snacks, and one of the better compensation packages available in my field. Technological resources are plentiful.","3.0"
"1417",157,"Great company to start a career immediately after college.  Excellent training program with financial markets boot camp.","5.0"
"1418",157,"pay is low since an Agent took a lots.","3.0"
"1419",157,"Challenging environment, Great People and culture","5.0"
"1420",157,"Different regions, a lot to learn, hotel points","4.0"
"1421",158,"Family atmostphere everyone is friendly","4.0"
"1422",158,"In NYC, good starting point if interested in Financial field.","5.0"
"1423",158,"There are some interesting SaaS technologies being used.","2.0"
"1424",158,"professional colleagues and well structured business
lots of opportunities and clear career path
good brand for your resume
LOADS of Benefits
volunteering opportunities","4.0"
"1425",158,"The company provides thorough training opportunities, but to be honest, they are only useful for non finance major students, very basic knowledge that every finance major would have known in college.
The company claims they have great corporate culture, which may be true from some point of view. Colleagues can be supportive sometimes.","2.0"
"1426",158,"Good Culture, Free Food, Great Health Benefits","3.0"
"1427",158,"Great company culture.   Phenomenal place to launch your career.","5.0"
"1428",158,"Good company and good people","3.0"
"1429",158,"Great place to work! Lovely people and very nice work environment","5.0"
"1430",158,"Nice to go on the mornings. Friendly colleagues. Interested clients.","4.0"
"1431",159,"Great benefits, great company structure, and lots of room to build your career whether in the financial side or technical side.","4.0"
"1432",159,"-work closely with management
- build lasting relationships
-learn on the job","5.0"
"1433",159,"Beautiful facilities, free snacks/drinks, and the ability to innovate inside and outside of your domain.  Dedication to philanthropy is second-to-none and embedded in the culture.  The best part of Bloomberg is that you move really quickly due to a lack of red tape -- projects that would usually take 2-3 years at banks take only a few months at Bloomberg.  If you embrace the culture, it's a really fun place to work.","2.0"
